,PARTIDO,,,,PARTIDO,,,,PARTIDO,,PARTIDO,,PARTIDO,,PARTIDO,,,
,ALIANZA,,,,NACIONALISTA,,PARTIDO,,REVOLUCIONARIO,,REVOLUCIONARIO,,UNION,,VANGUARDIA,,,
,SOCIAL,,PARTIDO,,REVOCIONARIO,,REVOLUCIONARIO,,DOMINICANO,,SOCIAL,,CIVICA,,REVOLUCIONARIA,,TOTALES,
,DEMOCRATA,,NACIONAL,,DEMOCRATA,,DOMINICANO,,AUTENTICO,,CRISTIANO,,NACIONAL,,DOMINICANA,,CANDIDATURAS,
,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS
SAN CRISTOBAL,130,138,,214,676,804,"38,173","37,250",,353,395,426,"1,662","1,639",,547,"41,036","41,371"
VILLA ALTAGRACIA,11,10,,36,24,23,"7,274","7,010",,178,413,411,668,661,,177,"8,390","8,506"
YAMASA,21,21,,23,35,35,"8,364","8,128",,122,"1,761","1,761","1,040","1,040",,213,"11,221","11,343"
DEPARTAMENTO DE SAN JUAN,471,457,317,291,"23,528","24,545","10,255","10,242",321,446,595,594,"8,333","8,313",505,503,"44,325","45,391"
PROVINCIA DE ELIAS PIÑA,89,86,67,65,"2,707","2,702","4,882","4,881",144,146,107,108,"2,412","2,410",212,214,"10,620","10,612"
BANICA,10,10,14,14,662,662,743,743,17,17,8,8,507,507,68,68,"2,029","2,029"
ELIAS PIÑA,71,68,53,51,"1,981","1,916","3,244","3,243",105,107,88,89,"1,167","1,165",144,146,"6,853","6,785"
PEDRO SANTANA,8,8,,,124,124,895,895,22,22,11,11,738,738,,,"1,798","1,798"
PROVINCIA SAN JUAN,382,371,250,226,"20,821","21,843","5,373","5,361",177,300,488,486,"5,921","5,903",293,289,"33,705","34,779"
EL CERCADO,32,32,,,"2,169","2,169",380,380,,,32,32,846,846,,,"3,459","3,459"
